latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
40.84486957,-73.7895405,2,36,2.49,1,156,125
40.83939619,-73.78143725,1,21,0.75,1,362,65
40.85589829,-73.78949621,2,5,1.01,1,365,110
40.84977457,-73.78660939,3,12,0.59,1,335,125
40.85205378,-73.78867963,1,23,1.68,1,174,99
40.85349119,-73.78860659,7,0,,1,180,200
40.85002381,-73.78932759,3,80,3.7,1,355,69
40.84114416,-73.78305229,7,0,,1,365,300
40.85527436,-73.79110109,14,6,0.28,1,25,30
40.85139148,-73.78413887,1,63,5.45,1,319,85
40.85955928,-73.87066898,2,108,2.03,4,285,39
40.86788703,-73.8599937,3,14,0.79,2,89,55
40.86814417,-73.85874498,2,66,2.63,4,361,48
40.85753243,-73.86605467,12,4,0.51,1,0,115
40.86065857,-73.85413708,1,5,0.74,1,0,50
40.87054097,-73.84680709,2,24,0.97,2,352,99
40.85959069,-73.8700668,3,1,0.17,1,365,90
40.86465805,-73.85708739,2,200,2.99,4,161,125
40.85913782,-73.86979422,2,68,1.32,4,276,38
40.85839659,-73.86968575,2,89,1.68,4,217,49
40.85903354,-73.87061311,3,1,0.17,1,115,38
40.86552898,-73.85200813,3,0,,1,0,100
40.86681965,-73.85811594,2,32,1.13,4,324,51
40.86676961,-73.85937793,2,48,1.48,4,352,48
40.86633066,-73.85642849,5,32,0.62,4,336,85
40.86666784,-73.85634556,1,2,0.08,4,87,85
40.86946912,-73.85993497,2,18,1.78,2,80,90
40.86402187,-73.85389181,2,12,2,1,60,45
40.86688872,-73.85775618,2,63,2.08,4,338,45
40.77808998,-73.90888328,2,74,2.62,8,345,45
40.77705769,-73.91041778,1,0,,1,82,70
40.77317275,-73.91689652,2,54,1.78,1,131,65
40.77316076,-73.91341163,1,6,1,2,365,90
40.77092236,-73.91555847,4,4,0.56,1,365,59
40.77033962,-73.91234242,14,0,,2,363,100
40.78296556,-73.912583,1,0,,2,365,60
40.77218021,-73.91160487,1,0,,1,55,95
40.77197781,-73.90952427,3,0,,1,0,175
40.77891383,-73.91503036,14,0,,1,89,87
40.77672561,-73.91231774,2,55,3.64,1,244,95
40.77309999,-73.91245981,6,39,3.63,2,74,148
40.77423452,-73.90714958,2,10,1.08,1,14,126
40.77061301,-73.909087,1,37,3.36,4,262,205
40.78030632,-73.91003014,2,9,1.59,1,161,85
40.77420784,-73.91215595,9,1,0.15,1,0,125
40.77714027,-73.90594904,2,4,1.08,1,321,120
40.77720184,-73.90897464,1,21,2.05,1,359,99
40.77814101,-73.90660708,2,3,0.29,2,0,130
40.77686257,-73.90830691,1,3,0.35,2,0,65
40.77604686,-73.90989793,5,5,0.3,2,180,65
40.7794325,-73.91170191,2,5,0.92,2,362,120
40.76893074,-73.90110386,5,13,1.2,2,141,110
40.77229137,-73.91627886,1,49,2.78,5,365,45
40.76813844,-73.89573491,9,4,2.86,1,271,48
40.77882482,-73.91163301,14,2,0.4,1,0,95
40.77676242,-73.91475219,1,16,1.13,1,365,65
40.77161629,-73.90780423,1,2,0.11,1,0,50
40.77101647,-73.91510143,1,0,,1,365,75
40.77449437,-73.91505303,1,44,2.5,5,162,40
40.77435022,-73.91217458,1,98,2.38,1,365,59
40.77433298,-73.9173438,2,14,0.88,1,174,75
40.7758795,-73.90781576,1,18,1.2,4,339,81
40.7813454,-73.90786078,1,41,6.37,2,134,87
40.77362743,-73.90049839,15,0,,1,0,36
40.77890459,-73.90688293,1,8,0.41,1,1,110
40.77244595,-73.91922318,2,0,,1,363,90
40.77417158,-73.91741909,3,0,,1,0,80
40.7755978,-73.90824844,1,0,,1,0,70
40.7783754,-73.91383449,2,5,0.74,1,15,60
40.77102534,-73.89461306,1,4,0.22,2,362,89
40.77397777,-73.90584314,3,0,,1,77,85
40.77652908,-73.90889292,1,0,,1,355,97
40.77573101,-73.91280258,1,61,4.24,1,143,50
40.77358125,-73.91831994,1,0,,2,0,50
40.77606254,-73.91710704,2,11,2.28,1,61,90
40.77775897,-73.91612174,1,44,1.86,4,303,55
40.77228649,-73.91626179,2,0,,1,0,68
40.77521701,-73.91155117,1,0,,1,356,134
40.77083317,-73.8946752,2,0,,1,180,90
40.7736718,-73.91516951,6,0,,2,3,80
40.77568856,-73.91275062,1,26,0.66,1,356,86
40.77671613,-73.91956107,5,31,1.73,1,237,112
40.77123157,-73.9093173,1,32,2.78,6,147,100
40.77138068,-73.90894688,1,66,1.91,6,133,55
40.77648369,-73.91594863,2,9,0.33,1,61,120
40.77282169,-73.91970457,1,16,1.98,3,365,100
40.77581668,-73.90891015,5,0,,2,343,69
40.77436947,-73.91854314,1,1,0.13,1,0,65
40.77293495,-73.91846435,1,16,1.92,3,321,100
40.77057778,-73.91091263,5,16,1.13,8,244,181
40.77315574,-73.89229544,1,10,0.5,1,365,85
40.77901671,-73.90767672,2,2,0.07,1,365,100
40.77630413,-73.90651309,1,4,0.45,1,364,110
40.77591393,-73.90598424,1,2,0.34,1,364,107
40.77480881,-73.9156207,2,0,,1,0,65
40.77146569,-73.91660095,2,55,1.21,1,68,69
40.77780958,-73.90676521,3,0,,2,159,65
40.77654236,-73.90916445,2,0,,2,22,120
40.77478202,-73.91912899,1,82,2.7,4,302,50
40.7793726,-73.91553218,1,0,,1,180,250
40.77417705,-73.9154003,1,21,2.61,2,0,49
40.77374954,-73.91646087,3,9,0.34,2,334,80
40.78268427,-73.91834498,30,2,0.97,1,358,85
40.77718327,-73.92675945,2,93,2.9,1,124,89
40.77590933,-73.91450139,1,17,0.54,2,365,100
40.77227963,-73.90572628,2,2,1.4,4,293,299
40.77871683,-73.91395501,1,4,0.39,1,0,78
40.77954028,-73.91496777,1,3,3,1,3,50
40.77914841,-73.909022,7,0,,1,0,44
40.77567386,-73.92202286,7,1,0.24,1,363,80
40.77692461,-73.9062627,3,2,0.08,1,365,109
40.78090104,-73.91837259,4,3,1.06,1,23,89
40.7729207,-73.91398136,3,5,0.15,2,365,70
40.77457954,-73.9098544,1,5,0.11,4,362,40
40.77737701,-73.92203588,3,40,2.37,2,327,199
40.77272785,-73.89531476,1,0,,1,365,85
40.77274389,-73.90537849,7,0,,1,176,50
40.77679442,-73.91686689,28,37,0.58,1,365,68
40.7746605,-73.91807087,3,1,0.45,1,44,390
40.77373675,-73.91903128,2,0,,1,0,100
40.77492164,-73.90866404,2,0,,1,278,70
40.77925292,-73.91068171,1,2,0.27,1,0,150
40.77076609,-73.90903113,5,3,0.17,8,351,45
40.77183304,-73.90973409,5,12,0.55,8,365,55
40.7820692,-73.91582564,2,0,,1,0,47
40.77664312,-73.90895679,2,12,4.86,1,35,65
40.77862302,-73.92148911,3,11,1.91,2,332,225
